Date, Price , Open , High , Low , Vol. ,Change %
2/16/2010," 14,370.24 "," 20,076.57 "," 20,076.57 "," 20,076.57 ", -   ,0.54%
2/17/2010," 14,532.86 "," 20,076.57 "," 20,076.57 "," 20,076.57 ", -   ,1.13%
2/18/2010," 14,549.02 "," 19,436.79 "," 19,436.79 "," 19,436.79 ", -   ,0.11%
2/19/2010," 14,550.62 "," 19,436.79 "," 19,436.79 "," 19,436.79 ", -   ,0.01%
2/20/2010," 14,550.62 "," 19,436.79 "," 19,436.79 "," 19,436.79 ", -   ,0.00%
2/21/2010," 14,550.62 "," 19,436.79 "," 19,436.79 "," 19,436.79 ", -   ,0.00%
2/22/2010," 14,638.89 "," 19,722.94 "," 19,722.94 "," 19,722.94 ", -   ,0.61%
2/23/2010," 14,471.19 "," 20,061.90 "," 20,061.90 "," 20,061.90 ", -   ,-1.15%
2/24/2010," 14,283.12 "," 20,061.90 "," 20,061.90 "," 20,061.90 ", -   ,-1.30%
2/25/2010," 14,350.24 "," 20,061.90 "," 20,061.90 "," 20,061.90 ", -   ,0.47%
2/26/2010," 14,363.02 "," 20,061.90 "," 20,061.90 "," 20,061.90 ", -   ,0.09%
2/27/2010," 14,363.02 "," 20,061.90 "," 20,061.90 "," 20,061.90 ", -   ,0.00%
